,About,Date,Titles,Reviews,Label
0,AT&T Network Services,"Apr 16, 2019","Pray Nothing Goes Wrong, but Know That it Will","This company needs to get its act together. I don't know how such a large company is so disorganized. If you call them for support, you'll get transferred at least two times, minimum, before someone is able to help you. You'll hear common phrases such as, ""This request needs to go to our East Coast division."" ""Sorry, the number you called is for Enterprise Support, but this account is supported under Small Business support."" ""No, I can't transfer you."" When it comes to support, the only hope you can have is if you have a few personal contacts from AT&T you can blast an email to when something goes wrong.",Negitive
1,AT&T Network Services,"Apr 9, 2019",Positive experience with the implementation and overall ongoing support and partnership,Our relationship with AT&T Network Services encompasses using cellular network to provide cellular service and data transmission from our telematics devices to our databases for analysis.  The overall experience and partnership has been positive and would recommend others to partner and use their services as well.,positive
2,AT&T Virtual Private Network (AVPN) MPLS platform,"Dec 17, 2018",Virtual network of AT&T review,"It has one integrated contract and a single, easy-to-read bill. An MPLS VPN uses multiprotocol label switching (MPLS) to create a virtual private network (VPN). MPLS VPN is a flexible method to transport and route several types of network traffic using a private MPLS backbone. AT&T VPN is an MPLS VPN.",Negitive
3,AT&T Network Services,"Dec 19, 2018",Perfect in the area's that matter.,"As an Global Enterprise customer of AT&T, I can say AT&T is very responsive to our needs. The area's that are lacking are not really business impacting, more ""It'd be nice if..."" type things. The stuff that really matters is top notch.",positive
4,AT&T Network Services,"Jun 23, 2019",Cyber ​​security,"Self-driving carts Internal systems of airborne vehicles such as brakes, control vehicles and emergency situations. In traditional networks, a device sends a data information hundreds of kilometers away. It takes time to move data across large physical distances. As a result, delays may occur. With Edge computing, critical functions can be processed in real time on the edge of the network. Verita from secondary systems such as updating the car's maps or being in-car infotainment can be processed in the cloud.",positive
5,AT&T Network Services,"Jan 22, 2019",Overall very satisfied with this service!,"Great Experience. We honestly have not had any issues. If we ever come across any questions, customer service is knowledgeable.  AT&T also made it very easy to switch from our previous provider. ",positive
6,AT&T Network Services,"Apr 11, 2019",A telecom giant in need of an overhaul,"While they have a huge footprint their service has deteriorated so badly that if you want AT&T Network services, I highly recommend purchasing through a re-seller.",Negitive
7,AT&T Network Services,"Nov 5, 2018","Great, but nothing to brag about","I think this service is ok. I believe they charge a little to much for what you are provided. Their claim is that they cover more areas when than their competition but living in a metropolitan area, I feel every network would cover my area.",positive
8,AT&T Virtual Private Network (AVPN) MPLS platform,"Dec 13, 2018",AT&T APvN service is rock solid,I am very satisfied with our AT&T APvN service.  We have over 99.9% up time and it is a very stable product.,positive
9,AT&T Network Services,"Jun 15, 2018",Worst telecom support ever experianced in over 25 years of experiance. ,"Great sales experience, good implementation experience, terrible Support.  All is good until you need support. Count on hold times longer than a hour, support personnel that don't know what there talking about, and resolutions that for any other company take less than a hour be up to 24 hours with AT&T.  Not a good choice for any SMB as your priority will be but a drip out of an entire ocean. We have multiple location in the United States so I deal with many telecom vendors and by far AT&T's support performance rates last on the list. ",positive
